group,method,n_rows,n_cols,k_sampled,weight_sum,minuslogpost_min,logpost_map,logdet_cov,jitter,cov_status,logZ_chain_local_laplace,mean_omega_b,map_omega_b,mean_n_s,map_n_s,mean_A_planck,map_A_planck,mean_chi2,map_chi2,mean_chi2__CMB,map_chi2__CMB,mean_chi2__planck_2018_highl_plik.TTTEEE_lite,map_chi2__planck_2018_highl_plik.TTTEEE_lite,mean_chi2__planck_2018_lowl.TT,map_chi2__planck_2018_lowl.TT,mean_chi2__planck_2018_lowl.EE,map_chi2__planck_2018_lowl.EE,mean_chi2__planck_2018_lensing.native,map_chi2__planck_2018_lensing.native,mean_minuslogprior,map_minuslogprior,mean_deu_damping_envelope_beta,map_deu_damping_envelope_beta,mean_deu_transfer_polamp_p_vis,map_deu_transfer_polamp_p_vis
native_chain_A,full_covariance_laplace,2000,13,3,3354.0,729.97341,-729.97341,-54.44080835168329,1.129608134725418e-20,no_or_small_jitter,-754.4369985762276,0.021933617048598687,0.021904256,0.9817929369737626,0.98239807,1.0200387052176505,1.0200043,1502.7044538163386,1498.6208,1502.7044538163386,1498.6208,1071.0430996124032,1066.8976,19.783917972570066,19.776488,395.9807352683364,395.98833,15.89670001848539,15.958332,-19.336971,-19.336971,,,,
native_chain_A,diagonal_covariance_laplace,2000,13,3,3354.0,729.97341,-729.97341,-54.43898849592334,0.0,diagonal,-754.4360886483475,0.021933617048598687,0.021904256,0.9817929369737626,0.98239807,1.0200387052176505,1.0200043,1502.7044538163386,1498.6208,1502.7044538163386,1498.6208,1071.0430996124032,1066.8976,19.783917972570066,19.776488,395.9807352683364,395.98833,15.89670001848539,15.958332,-19.336971,-19.336971,,,,
native_chain_A,iqr_diagonal_laplace,2000,13,3,3354.0,729.97341,-729.97341,-56.71031576483618,0.0,iqr_diagonal,-755.571752282804,0.021933617048598687,0.021904256,0.9817929369737626,0.98239807,1.0200387052176505,1.0200043,1502.7044538163386,1498.6208,1502.7044538163386,1498.6208,1071.0430996124032,1066.8976,19.783917972570066,19.776488,395.9807352683364,395.98833,15.89670001848539,15.958332,-19.336971,-19.336971,,,,
native_chain_B,full_covariance_laplace,2000,13,3,3436.0,729.84925,-729.84925,-53.85671141115631,1.75352796793547e-20,no_or_small_jitter,-754.0207901059641,0.021934604428987196,0.021903315,0.9817626885302677,0.98249758,1.0200457954307334,1.0200026,1503.1797547147848,1498.3724,1503.1797547147848,1498.3724,1071.515460710128,1066.6404,19.7843729362631,19.775835,395.9809355122236,395.99407,15.898984798894062,15.96217,-19.336971,-19.336971,,,,
native_chain_B,diagonal_covariance_laplace,2000,13,3,3436.0,729.84925,-729.84925,-53.851118016822554,0.0,diagonal,-754.0179934087972,0.021934604428987196,0.021903315,0.9817626885302677,0.98249758,1.0200457954307334,1.0200026,1503.1797547147848,1498.3724,1503.1797547147848,1498.3724,1071.515460710128,1066.6404,19.7843729362631,19.775835,395.9809355122236,395.99407,15.898984798894062,15.96217,-19.336971,-19.336971,,,,
native_chain_B,iqr_diagonal_laplace,2000,13,3,3436.0,729.84925,-729.84925,-56.43894024188596,0.0,iqr_diagonal,-755.311904521329,0.021934604428987196,0.021903315,0.9817626885302677,0.98249758,1.0200457954307334,1.0200026,1503.1797547147848,1498.3724,1503.1797547147848,1498.3724,1071.515460710128,1066.6404,19.7843729362631,19.775835,395.9809355122236,395.99407,15.898984798894062,15.96217,-19.336971,-19.336971,,,,
native_combined,full_covariance_laplace,4000,13,3,6790.0,729.84925,-729.84925,-54.11460450182419,1.446592055967335e-20,no_or_small_jitter,-754.1497366512981,0.021934116700883653,0.021903315,0.9817776301030927,0.98249758,1.020042293136966,1.0200026,1502.944974270987,1498.3724,1502.944974270987,1498.3724,1071.2821324153167,1066.6404,19.784148201620035,19.775835,395.98083659941096,395.99407,15.897856204860089,15.96217,-19.336971,-19.336971,,,,
native_combined,diagonal_covariance_laplace,4000,13,3,6790.0,729.84925,-729.84925,-54.112652683206576,0.0,diagonal,-754.1487607419892,0.021934116700883653,0.021903315,0.9817776301030927,0.98249758,1.020042293136966,1.0200026,1502.944974270987,1498.3724,1502.944974270987,1498.3724,1071.2821324153167,1066.6404,19.784148201620035,19.775835,395.98083659941096,395.99407,15.897856204860089,15.96217,-19.336971,-19.336971,,,,
native_combined,iqr_diagonal_laplace,4000,13,3,6790.0,729.84925,-729.84925,-56.55695389659829,0.0,iqr_diagonal,-755.3709113486851,0.021934116700883653,0.021903315,0.9817776301030927,0.98249758,1.020042293136966,1.0200026,1502.944974270987,1498.3724,1502.944974270987,1498.3724,1071.2821324153167,1066.6404,19.784148201620035,19.775835,395.98083659941096,395.99407,15.897856204860089,15.96217,-19.336971,-19.336971,,,,
deu_chain_A,full_covariance_laplace,2000,15,5,2641.0,572.83932,-572.83932,-77.40410183275468,3.541533093114973e-19,no_or_small_jitter,-606.946678250354,0.021974491571374478,0.021959556,0.981532908500568,0.98118992,1.0250249106020446,1.0250579,1209.5283025369179,1207.3784,1209.5283025369179,1207.3784,766.2957963498675,764.14157,26.507634819765244,26.590184,397.8404057894737,397.8372,18.884465218099205,18.809482,-30.849897000000002,-30.849897,0.029547745454751986,0.029595717,1.0472805565316168,1.0473467
