pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm000,full_covariance_laplace,native_combined_random_split_perm000_A,native_combined_random_split_perm000_B,-754.3701182975611,-754.0277865163571,-0.3423317812040523,0.3423317812040523,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,0
native_combined_random_split_perm000,diagonal_covariance_laplace,native_combined_random_split_perm000_A,native_combined_random_split_perm000_B,-754.3689007363188,-754.0268539705307,-0.34204676578804083,0.34204676578804083,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,0
native_combined_random_split_perm000,iqr_diagonal_laplace,native_combined_random_split_perm000_A,native_combined_random_split_perm000_B,-755.4698655943276,-755.320140400022,-0.1497251943056881,0.1497251943056881,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,0
native_combined_random_split_perm001,full_covariance_laplace,native_combined_random_split_perm001_A,native_combined_random_split_perm001_B,-754.072529893411,-754.425116839952,0.35258694654100964,0.35258694654100964,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,1
native_combined_random_split_perm001,diagonal_covariance_laplace,native_combined_random_split_perm001_A,native_combined_random_split_perm001_B,-754.0714610640289,-754.4237591093828,0.35229804535390485,0.35229804535390485,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,1
native_combined_random_split_perm001,iqr_diagonal_laplace,native_combined_random_split_perm001_A,native_combined_random_split_perm001_B,-755.4873907698203,-755.3170755591981,-0.17031521062222055,0.17031521062222055,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,1
native_combined_random_split_perm002,full_covariance_laplace,native_combined_random_split_perm002_A,native_combined_random_split_perm002_B,-754.1849792221633,-754.241167411502,0.05618818933874081,0.05618818933874081,729.84925,729.96766,0.11841000000003987,native_combined_random_split,2
native_combined_random_split_perm002,diagonal_covariance_laplace,native_combined_random_split_perm002_A,native_combined_random_split_perm002_B,-754.1834846060107,-754.2390492222717,0.055564616260994626,0.055564616260994626,729.84925,729.96766,0.11841000000003987,native_combined_random_split,2
native_combined_random_split_perm002,iqr_diagonal_laplace,native_combined_random_split_perm002_A,native_combined_random_split_perm002_B,-755.3384451776175,-755.4950694651762,0.15662428755877045,0.15662428755877045,729.84925,729.96766,0.11841000000003987,native_combined_random_split,2
native_combined_random_split_perm003,full_covariance_laplace,native_combined_random_split_perm003_A,native_combined_random_split_perm003_B,-753.8717669017154,-755.307581355183,1.4358144534675148,1.4358144534675148,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,3
