config,param,entry
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,A_planck,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,A_planck,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}"
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.input.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.updated.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}"
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.updated.yaml,A_planck,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}"
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.updated.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b2_tiny_sampler_smoke_test.updated.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.input.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.updated.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}"
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.updated.yaml,A_planck,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}"
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.updated.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b3_short_pilot_chain.updated.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.input.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.updated.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.updated.yaml,A_planck,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.updated.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01.updated.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.input.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.updated.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.updated.yaml,A_planck,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}"
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.updated.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02.updated.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.input.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}"
deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.input.yaml,n_s,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}"
deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.input.yaml,A_planck,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}"
deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.input.yaml,a_planck,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.input.yaml,deu_lensed_phase_profile,TEXT_MATCH_ONLY__CHECK_CONFIG_MANUALLY
deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.updated.yaml,omega_b,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}"
