method,variant,deu_logZ,native_logZ,logBF_deu_minus_native,deu_logprior_density_map,native_logprior_density_map,prior_density_difference_deu_minus_native,expected_deu_only_beta_pvis_density_ln
full_covariance_laplace,chi2_loglike_plus_prior_laplace,-606.898598073121,-754.1497156512982,147.25111757817717,30.849897,19.336971,11.512926,11.512925464970229
full_covariance_laplace,loglike_only_laplace,-637.7485120731211,-773.486707651298,135.73819557817694,30.849897,19.336971,11.512926,11.512925464970229
full_covariance_laplace,loglike_plus_prior_laplace,-606.898615073121,-754.1497366512981,147.25112157817705,30.849897,19.336971,11.512926,11.512925464970229
full_covariance_laplace,posterior_plus_prior_again_laplace,-576.048718073121,-734.8127656512982,158.76404757817716,30.849897,19.336971,11.512926,11.512925464970229
full_covariance_laplace,standard_posterior_laplace,-606.898615073121,-754.1497366512981,147.25112157817705,30.849897,19.336971,11.512926,11.512925464970229
diagonal_covariance_laplace,chi2_loglike_plus_prior_laplace,-606.8378588762412,-754.1487397419893,147.31088086574812,30.849897,19.336971,11.512926,11.512925464970229
diagonal_covariance_laplace,loglike_only_laplace,-637.6877728762413,-773.4857317419892,135.7979588657479,30.849897,19.336971,11.512926,11.512925464970229
diagonal_covariance_laplace,loglike_plus_prior_laplace,-606.8378758762412,-754.1487607419892,147.310884865748,30.849897,19.336971,11.512926,11.512925464970229
diagonal_covariance_laplace,posterior_plus_prior_again_laplace,-575.9879788762412,-734.8117897419893,158.8238108657481,30.849897,19.336971,11.512926,11.512925464970229
diagonal_covariance_laplace,standard_posterior_laplace,-606.8378758762412,-754.1487607419892,147.310884865748,30.849897,19.336971,11.512926,11.512925464970229
iqr_diagonal_laplace,chi2_loglike_plus_prior_laplace,-606.3411410822059,-755.3708903486852,149.02974926647926,30.849897,19.336971,11.512926,11.512925464970229
iqr_diagonal_laplace,loglike_only_laplace,-637.191055082206,-774.7078823486851,137.51682726647903,30.849897,19.336971,11.512926,11.512925464970229
iqr_diagonal_laplace,loglike_plus_prior_laplace,-606.341158082206,-755.3709113486851,149.02975326647913,30.849897,19.336971,11.512926,11.512925464970229
iqr_diagonal_laplace,posterior_plus_prior_again_laplace,-575.4912610822059,-736.0339403486852,160.54267926647924,30.849897,19.336971,11.512926,11.512925464970229
iqr_diagonal_laplace,standard_posterior_laplace,-606.341158082206,-755.3709113486851,149.02975326647913,30.849897,19.336971,11.512926,11.512925464970229
