model,chain_group,quantity,n_rows,n_cols,mean_w,q16_w,q50_w,q84_w,min,max,prior_min,prior_max,frac_near_prior_low_1pct_width,frac_near_prior_high_1pct_width,std_unweighted,prior_width,prior_contains_unity,posterior_center_offset_in_prior_widths
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,minuslogpost,2000,15,573.9900663233458,573.2556024,573.73054,574.77515592,572.86331,579.74345,,,,,,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,deu_damping_envelope_beta,2000,15,0.029444622056491884,0.028795732,0.029387478,0.030116388,0.028503605,0.030488333,0.0285,0.0305,0.003121098626716604,0.0028089887640449437,0.000562595474422354,0.0019999999999999983,False,-0.027688971754057125
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,deu_transfer_polamp_p_vis,2000,15,1.0475317058988765,1.0460032,1.0474786,1.0490099,1.0450369,1.0499736,1.045,1.05,0.004057428214731586,0.001560549313358302,0.0013026870242950133,0.0050000000000001155,False,0.0063411797753153065
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,omega_b,2000,15,0.02198457872659176,0.021932045,0.021977658,0.022043034248,0.021900233,0.022099565,0.0219,0.0221,0.00686641697877653,0.0028089887640449437,5.0277827433603344e-05,0.00020000000000000226,False,-0.0771063670411921
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,n_s,2000,15,0.9815152342322099,0.98088114,0.98154655,0.98212789,0.98050506,0.98249788,0.9805,0.9825,0.005930087390761548,0.003121098626716604,0.0005327814416755047,0.0020000000000000018,False,0.007617116104918768
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,A_planck,2000,15,1.0250811236267166,1.0242233840000001,1.0251111,1.025927844,1.0223555,1.0278849,1.02,1.03,0.0,0.0,0.0008715619602996781,0.010000000000000009,False,0.008112362671663924
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,chi2__CMB,2000,15,1209.6799266229714,1208.2109520000001,1209.1609,1211.2500903999999,1207.4264,1221.1867,,,,,1.8648504023087034,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,minuslogprior,2000,15,-30.849897000000006,-30.849897,-30.849897,-30.849897,-30.849897,-30.849897,,,,,0.0,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,minuslogprior__0,2000,15,-30.849897000000006,-30.849897,-30.849897,-30.849897,-30.849897,-30.849897,,,,,0.0,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,chi2,2000,15,1209.6799266229714,1208.2109520000001,1209.1609,1211.2500903999999,1207.4264,1221.1867,,,,,1.8648504023087034,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,chi2__planck_2018_highl_plik.TTTEEE_lite,2000,15,766.4398372440698,764.919256,765.9121025,768.0601648,763.98166,777.83042,,,,,1.9081510393730765,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,chi2__planck_2018_lowl.TT,2000,15,26.503389428214735,26.274801319999998,26.497406,26.73307704,25.786733,27.165241,,,,,0.22297745167003147,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,chi2__planck_2018_lowl.EE,2000,15,397.841777468789,397.82648,397.84179,397.85487,397.79792,397.88702,,,,,0.01618103267738994,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,chi2__planck_2018_lensing.native,2000,15,18.894922601435706,18.35594452,18.859863,19.41749572,17.352057,21.054228,,,,,0.5635046806105838,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,minuslogpost,2000,15,573.9142539833397,573.2222424,573.651845,574.5941728,572.83932,581.07629,,,,,,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,deu_damping_envelope_beta,2000,15,0.029547745454751986,0.028928768,0.02959544275,0.030129462,0.028515852,0.030499613,0.0285,0.0305,0.0007572889057175312,0.0015145778114350624,0.0005236712070379311,0.0019999999999999983,False,0.02387272737599396
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,deu_transfer_polamp_p_vis,2000,15,1.0472805565316168,1.04588688,1.0472246,1.0487993,1.0450006,1.0499778,1.045,1.05,0.005679666792881484,0.0026505111700113595,0.0012880541014812477,0.0050000000000001155,False,-0.04388869367661817
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,omega_b,2000,15,0.02197449157137448,0.02192305032,0.021967216,0.022023059,0.021900248,0.022094211,0.0219,0.0221,0.007951533510034078,0.0,4.7915327735600504e-05,0.00020000000000000226,False,-0.12754214312758605
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,n_s,2000,15,0.981532908500568,0.98085997,0.98147575,0.9822265,0.98050565,0.98249805,0.9805,0.9825,0.010980689132904203,0.02877697841726619,0.0005894436486721018,0.0020000000000000018,False,0.01645425028395929
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,A_planck,2000,15,1.0250249106020446,1.024181176,1.02501935,1.0258710960000001,1.0223195,1.028335,1.02,1.03,0.0,0.0,0.0008797775296343504,0.010000000000000009,False,0.0024910602044680963
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,chi2__CMB,2000,15,1209.5283025369179,1208.144256,1209.0035,1210.888148,1207.3784,1223.8524,,,,,1.863564654062342,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,minuslogprior,2000,15,-30.849897000000002,-30.849897,-30.849897,-30.849897,-30.849897,-30.849897,,,,,0.0,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,minuslogprior__0,2000,15,-30.849897000000002,-30.849897,-30.849897,-30.849897,-30.849897,-30.849897,,,,,0.0,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,chi2,2000,15,1209.5283025369179,1208.144256,1209.0035,1210.888148,1207.3784,1223.8524,,,,,1.863564654062342,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,chi2__planck_2018_highl_plik.TTTEEE_lite,2000,15,766.2957963498675,764.8753168,765.68777,767.7279548,764.01605,782.96747,,,,,1.9761600705112377,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,chi2__planck_2018_lowl.TT,2000,15,26.507634819765244,26.28115784,26.49878275,26.74584688,25.89337,27.260187,,,,,0.23131140899438726,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,chi2__planck_2018_lowl.EE,2000,15,397.8404057894737,397.82298,397.841185,397.85405,397.79792,397.88922,,,,,0.016776423003562014,,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,chi2__planck_2018_lensing.native,2000,15,18.884465218099205,18.33980716,18.880575999999998,19.39752712,17.094076,21.291145,,,,,0.5694487830640812,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,minuslogpost,2000,13,732.0152546839595,730.7050156,731.70223,733.1078084000001,729.97341,865.55804,,,,,,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,omega_b,2000,13,0.02193361704859869,0.021907054,0.021925087,0.021962967,0.021900159,0.022055275,0.0219,0.0221,0.02981514609421586,0.0,2.929694450513829e-05,0.00020000000000000226,False,-0.3319147570065396
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,n_s,2000,13,0.9817929369737627,0.9812551147999999,0.98189397,0.9823080162909091,0.98050073,0.98249963,0.9805,0.9825,0.002385211687537269,0.02623732856290996,0.0004955388668865684,0.0020000000000000018,False,0.1464684868813236
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,A_planck,2000,13,1.0200387052176505,1.0200044,1.0200241,1.020070272,1.02,1.0245428,1.02,1.03,0.9350029815146095,0.0,0.00013495669883358075,0.010000000000000009,False,-0.4961294782349408
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__CMB,2000,13,1502.7044538163386,1500.0839839999999,1502.0784,1504.8895240000002,1498.6208,1769.79,,,,,8.023012391769278,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,minuslogprior,2000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.5536021904259474e-15,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,minuslogprior__0,2000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.5536021904259474e-15,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2,2000,13,1502.7044538163386,1500.0839839999999,1502.0784,1504.8895240000002,1498.6208,1769.79,,,,,8.023012391769278,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_highl_plik.TTTEEE_lite,2000,13,1071.0430996124032,1068.3918453333333,1070.3884,1073.25264,1066.8976,1334.3794,,,,,7.928291335549742,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_lowl.TT,2000,13,19.783917972570066,19.778075,19.781803,19.79074348,19.750505,19.806575,,,,,0.006575266759261756,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_lowl.EE,2000,13,395.9807352683364,395.97212,395.97983,395.98833,395.96399,396.00594,,,,,0.008382593121550576,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_lensing.native,2000,13,15.89670001848539,15.82158708,15.909522666666666,15.957963920000001,15.587287,19.692552,,,,,0.13393205657724547,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,minuslogpost,2000,13,732.252905774156,730.755405,731.89583,733.3317136,729.84925,883.08484,,,,,,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,omega_b,2000,13,0.021934604428987193,0.021907350843636365,0.021926413,0.021966896,0.021900219,0.022056177,0.0219,0.0221,0.04569266589057043,0.0,2.8624703338006233e-05,0.00020000000000000226,False,-0.32697785506402544
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,n_s,2000,13,0.9817626885302677,0.9811153092,0.98185088,0.98230495,0.98051853,0.98249804,0.9805,0.9825,0.0005820721769499418,0.011932479627473807,0.0005311343904220884,0.0020000000000000018,False,0.1313442651338369
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,A_planck,2000,13,1.0200457954307334,1.0200071,1.020028425,1.0200698,1.02,1.0250552,1.02,1.03,0.9260768335273574,0.0,0.00016151115804961355,0.010000000000000009,False,-0.4954204569266536
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__CMB,2000,13,1503.1797547147848,1500.18473,1502.4656,1505.33735,1498.3724,1804.8436,,,,,9.466279196788749,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,minuslogprior,2000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.5536021904259474e-15,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,minuslogprior__0,2000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.5536021904259474e-15,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2,2000,13,1503.1797547147848,1500.18473,1502.4656,1505.33735,1498.3724,1804.8436,,,,,9.466279196788749,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_highl_plik.TTTEEE_lite,2000,13,1071.515460710128,1068.49702,1070.8410000000001,1073.711632,1066.6404,1368.9845,,,,,9.350838846918958,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_lowl.TT,2000,13,19.7843729362631,19.77782852,19.782343,19.792529599999998,19.753788,19.806258,,,,,0.007146639417318898,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_lowl.EE,2000,13,395.9809355122236,395.97212,395.97983,395.98955,395.93349,396.00594,,,,,0.009005401693175019,,,
