model,config,likelihood_key,contains_TTTEEE_lite,contains_lite,contains_lensing
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_lensing.native,False,False,True
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,planck_2018_lowl.TT,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,planck_2018_lowl.EE,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,planck_2018_lensing.native,False,False,True
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,planck_2018_lowl.TT,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,planck_2018_lowl.EE,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,planck_2018_lensing.native,False,False,True
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,planck_2018_lowl.TT,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,planck_2018_lowl.EE,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,planck_2018_lensing.native,False,False,True
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,planck_2018_lowl.TT,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,planck_2018_lowl.EE,False,False,False
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,planck_2018_lensing.native,False,False,True
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,planck_2018_lowl.TT,False,False,False
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,planck_2018_lowl.EE,False,False,False
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,planck_2018_lensing.native,False,False,True
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,planck_2018_lowl.TT,False,False,False
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,planck_2018_lowl.EE,False,False,False
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,planck_2018_lensing.native,False,False,True
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,planck_2018_lowl.TT,False,False,False
