model,config,param,has_prior,has_value,ref,proposal,entry,prior_min,prior_max,prior_width
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,A_planck,True,False,1.025,0.0015,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,omega_cdm,False,True,"""""","""""","{""renames"": [""omegach2""], ""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,tau_reio,False,True,"""""","""""","{""renames"": [""tau""], ""value"": 0.0544}",,,
