label,bundle,loglike,reference_label,reference_loglike,delta_vs_reference,status
working_lock,plik_TT_lite,-157.74692094400146,working_lock,-157.74692094400146,0.0,success
working_lock,plik_TTTEEE_lite,-382.30201119323436,working_lock,-382.30201119323436,0.0,success
working_lock,lowl_available,-212.1379932252806,working_lock,-212.1379932252806,0.0,success
working_lock,lensing_native,-9.388064537163515,working_lock,-9.388064537163515,0.0,success
working_lock,lowl_plus_plik_TTTEEE_lite,-594.440004418515,working_lock,-594.440004418515,0.0,success
working_lock,lowl_plik_TTTEEE_lite_lensing_native,-603.8280689556785,working_lock,-603.8280689556785,0.0,success
posterior_mean,plik_TT_lite,-157.53344787777428,working_lock,-157.74692094400146,0.21347306622718065,success
posterior_mean,plik_TTTEEE_lite,-382.2683583030749,working_lock,-382.30201119323436,0.03365289015948747,success
posterior_mean,lowl_available,-212.18884015826822,working_lock,-212.1379932252806,-0.05084693298761067,success
posterior_mean,lensing_native,-9.43481550012654,working_lock,-9.388064537163515,-0.04675096296302428,success
posterior_mean,lowl_plus_plik_TTTEEE_lite,-594.4571984613431,working_lock,-594.440004418515,-0.0171940428281232,success
posterior_mean,lowl_plik_TTTEEE_lite_lensing_native,-603.8920139614696,working_lock,-603.8280689556785,-0.06394500579108353,success
posterior_median,plik_TT_lite,-157.4138972863138,working_lock,-157.74692094400146,0.3330236576876473,success
posterior_median,plik_TTTEEE_lite,-382.24876833125586,working_lock,-382.30201119323436,0.0532428619785037,success
posterior_median,lowl_available,-212.1878051785589,working_lock,-212.1379932252806,-0.049811953278293686,success
posterior_median,lensing_native,-9.42740396554745,working_lock,-9.388064537163515,-0.03933942838393456,success
posterior_median,lowl_plus_plik_TTTEEE_lite,-594.4365735098147,working_lock,-594.440004418515,0.003430908700238433,success
posterior_median,lowl_plik_TTTEEE_lite_lensing_native,-603.8639774753622,working_lock,-603.8280689556785,-0.0359085196836304,success
map_like_chain_row,plik_TT_lite,-157.16539615901598,working_lock,-157.74692094400146,0.5815247849854757,success
map_like_chain_row,plik_TTTEEE_lite,-382.2058739605605,working_lock,-382.30201119323436,0.09613723267386831,success
map_like_chain_row,lowl_available,-212.21298483051356,working_lock,-212.1379932252806,-0.07499160523295245,success
map_like_chain_row,lensing_native,-9.402916749407021,working_lock,-9.388064537163515,-0.014852212243505747,success
map_like_chain_row,lowl_plus_plik_TTTEEE_lite,-594.4188587910741,working_lock,-594.440004418515,0.021145627440887438,success
map_like_chain_row,lowl_plik_TTTEEE_lite_lensing_native,-603.8217755404811,working_lock,-603.8280689556785,0.006293415197433205,success
tri_anchor_highl,plik_TT_lite,-156.88753410158557,working_lock,-157.74692094400146,0.859386842415887,success
tri_anchor_highl,plik_TTTEEE_lite,-382.09644863724304,working_lock,-382.30201119323436,0.205562555991321,success
tri_anchor_highl,lowl_available,-212.38519126951218,working_lock,-212.1379932252806,-0.24719804423156688,success
tri_anchor_highl,lensing_native,-9.455015073141412,working_lock,-9.388064537163515,-0.06695053597789702,success
tri_anchor_highl,lowl_plus_plik_TTTEEE_lite,-594.4816399067552,working_lock,-594.440004418515,-0.041635488240217455,success
tri_anchor_highl,lowl_plik_TTTEEE_lite_lensing_native,-603.9366549798966,working_lock,-603.8280689556785,-0.10858602421808428,success
tri_anchor_lowl_plus,plik_TT_lite,-156.98413240111626,working_lock,-157.74692094400146,0.7627885428852039,success
tri_anchor_lowl_plus,plik_TTTEEE_lite,-382.1830821680578,working_lock,-382.30201119323436,0.11892902517655557,success
tri_anchor_lowl_plus,lowl_available,-212.21590707666138,working_lock,-212.1379932252806,-0.0779138513807709,success
tri_anchor_lowl_plus,lensing_native,-9.453534606523377,working_lock,-9.388064537163515,-0.06547006935986133,success
tri_anchor_lowl_plus,lowl_plus_plik_TTTEEE_lite,-594.3989892447191,working_lock,-594.440004418515,0.0410151737958131,success
tri_anchor_lowl_plus,lowl_plik_TTTEEE_lite_lensing_native,-603.8525238512426,working_lock,-603.8280689556785,-0.02445489556407665,success
tri_anchor_full_objective,plik_TT_lite,-157.74692094400146,working_lock,-157.74692094400146,0.0,success
tri_anchor_full_objective,plik_TTTEEE_lite,-382.30201119323436,working_lock,-382.30201119323436,0.0,success
tri_anchor_full_objective,lowl_available,-212.1379932252806,working_lock,-212.1379932252806,0.0,success
tri_anchor_full_objective,lensing_native,-9.388064537163515,working_lock,-9.388064537163515,0.0,success
tri_anchor_full_objective,lowl_plus_plik_TTTEEE_lite,-594.440004418515,working_lock,-594.440004418515,0.0,success
tri_anchor_full_objective,lowl_plik_TTTEEE_lite_lensing_native,-603.8280689556785,working_lock,-603.8280689556785,0.0,success
