parameter,display_name,field,recomputed,booked_stage3b10,difference,abs_difference,tolerance,pass
deu_damping_envelope_beta,beta,weighted_mean,0.02949121724807528,0.02949121724807528,0.0,0.0,1e-06,True
deu_damping_envelope_beta,beta,weighted_sd,0.0005524725209021037,0.0005524725209021037,0.0,0.0,1e-06,True
deu_damping_envelope_beta,beta,q025,0.028567552,0.028567552,0.0,0.0,1e-06,True
deu_damping_envelope_beta,beta,q160,0.028849905,0.028849905,0.0,0.0,1e-06,True
deu_damping_envelope_beta,beta,q500,0.029503285,0.029503285,0.0,0.0,1e-06,True
deu_damping_envelope_beta,beta,q840,0.030128599,0.030128599,0.0,0.0,1e-06,True
deu_damping_envelope_beta,beta,q975,0.030423268,0.030423268,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,weighted_mean,1.0474182267750214,1.0474182267750214,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,weighted_sd,0.001318023057604206,0.001318023057604206,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,q025,1.0452071,1.0452071,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,q160,1.0459375,1.0459375,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,q500,1.0473475,1.0473475,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,q840,1.048932,1.048932,0.0,0.0,1e-06,True
deu_transfer_polamp_p_vis,p_vis,q975,1.0498123,1.0498123,0.0,0.0,1e-06,True
omega_b,omega_b,weighted_mean,0.021980020954662106,0.021980020954662106,0.0,0.0,1e-06,True
omega_b,omega_b,weighted_sd,4.953628242491131e-05,4.953628242491131e-05,0.0,0.0,1e-06,True
omega_b,omega_b,q025,0.021905925,0.021905925,0.0,0.0,1e-06,True
omega_b,omega_b,q160,0.021927323,0.021927323,0.0,0.0,1e-06,True
omega_b,omega_b,q500,0.021972856,0.021972856,0.0,0.0,1e-06,True
omega_b,omega_b,q840,0.0220347,0.0220347,0.0,0.0,1e-06,True
omega_b,omega_b,q975,0.022084005,0.022084005,0.0,0.0,1e-06,True
n_s,n_s,weighted_mean,0.9815232201591104,0.9815232201591104,0.0,0.0,1e-06,True
n_s,n_s,weighted_sd,0.0005680687805706126,0.0005680687805706126,0.0,0.0,1e-06,True
n_s,n_s,q025,0.98056612,0.98056612,0.0,0.0,1e-06,True
n_s,n_s,q160,0.98086835,0.98086835,0.0,0.0,1e-06,True
n_s,n_s,q500,0.9815207,0.9815207,0.0,0.0,1e-06,True
n_s,n_s,q840,0.98217567,0.98217567,0.0,0.0,1e-06,True
n_s,n_s,q975,0.98247175,0.98247175,0.0,0.0,1e-06,True
A_planck,A_planck,weighted_mean,1.0250557243798117,1.0250557243798117,0.0,0.0,1e-06,True
A_planck,A_planck,weighted_sd,0.0008464612795648388,0.0008464612795648388,0.0,0.0,1e-06,True
A_planck,A_planck,q025,1.0233787,1.0233787,0.0,0.0,1e-06,True
A_planck,A_planck,q160,1.0242044,1.0242044,0.0,0.0,1e-06,True
A_planck,A_planck,q500,1.0250715,1.0250715,0.0,0.0,1e-06,True
A_planck,A_planck,q840,1.0259026,1.0259026,0.0,0.0,1e-06,True
A_planck,A_planck,q975,1.0267361,1.0267361,0.0,0.0,1e-06,True
