context_type,bundle,metric,value,interpretation
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-118.7767874187623,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-109.63734343550323,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-114.7542343348315,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-105.83758406300996,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-110.92316996822484,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-101.24186769892259,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-62.564861832602006,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-55.80310943666697,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-4.022553083930789,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-3.7997593724932406,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-3.831064366606739,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-4.595716364087423,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-118.7767874187623,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-109.63734343550323,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-114.7542343348315,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-105.83758406300996,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-110.92316996822484,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-101.24186769892259,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_baseline,-62.564861832602006,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
stage3a_fixed_regression_gap,,final_profile2_minus_native_same_shape,-55.80310943666697,diagnostic loglike gap/context only; not a Bayes factor or posterior model comparison
model_comparison_scope,production_full_objective,posterior_scope,,Production posterior samples the DEU full-objective configuration; it is not a sampled native/LambdaCDM posterior comparison.
tri_anchor_decision_scope,primary_objectives,MIXED_PRIMARY_TIEBREAK_RECORDED,,Primary objectives remain split; prefer the full-objective anchor for full Planck work and preserve a tri-anchor ledger.
