comparison,key,observed,expected,difference,abs_difference,tolerance,pass
native_readiness_ref_bundle_vs_stage3b15_sampler_ref,plik_TTTEEE_lite,-682.6862841492145,-682.6862841492145,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b15_sampler_ref,lowl_available,-207.84360434887708,-207.84360434887708,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b15_sampler_ref,lensing_native,-10.05829195887283,-10.05829195887283,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b15_sampler_ref,lowl_plus_plik_TTTEEE_lite,-890.5298884980916,-890.5298884980916,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b15_sampler_ref,lowl_plik_TTTEEE_lite_lensing_native,-900.5881804569644,-900.5881804569644,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b15_sampler_ref,planck_2018_highl_plik.TTTEEE_lite,-682.6862841492145,-682.6862841492145,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b15_sampler_ref,planck_2018_lowl.TT,-9.876859999848904,-9.876859999848904,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b15_sampler_ref,planck_2018_lowl.EE,-197.96674434902818,-197.96674434902818,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b15_sampler_ref,planck_2018_lensing.native,-10.05829195887283,-10.05829195887283,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b16_checkpoint,plik_TTTEEE_lite,-682.6862841492145,-682.6862841492145,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b16_checkpoint,lowl_available,-207.84360434887708,-207.84360434887708,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b16_checkpoint,lensing_native,-10.05829195887283,-10.05829195887283,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b16_checkpoint,lowl_plus_plik_TTTEEE_lite,-890.5298884980916,-890.5298884980916,0.0,0.0,1e-05,True
native_readiness_ref_bundle_vs_stage3b16_checkpoint,lowl_plik_TTTEEE_lite_lensing_native,-900.5881804569644,-900.5881804569644,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b16_checkpoint,planck_2018_highl_plik.TTTEEE_lite,-682.6862841492145,-682.6862841492145,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b16_checkpoint,planck_2018_lowl.TT,-9.876859999848904,-9.876859999848904,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b16_checkpoint,planck_2018_lowl.EE,-197.96674434902818,-197.96674434902818,0.0,0.0,1e-05,True
native_readiness_ref_components_vs_stage3b16_checkpoint,planck_2018_lensing.native,-10.05829195887283,-10.05829195887283,0.0,0.0,1e-05,True
