parameter,segment,n,mean,variance,min,max,segment_mean_range,pooled_std,normalized_segment_range,max_allowed_normalized_segment_range,gate_pass
omega_b,1,500,0.021939505747999997,1.096059850790071e-09,0.021900159,0.022045046,,,,,
omega_b,2,500,0.021933164829999997,7.86633720910932e-10,0.02190038,0.022055275,,,,,
omega_b,3,500,0.021932036252,7.267860478081051e-10,0.021900645,0.022048569,,,,,
omega_b,4,500,0.021934994154,7.964283060664178e-10,0.02190137,0.02202879,,,,,
omega_b,__SEGMENT_SUMMARY__,2000,0.021934925246,,0.021932036252,0.021939505747999997,7.46949599999755e-06,2.9180078502188465e-05,0.255979297637508,8.0,True
n_s,1,500,0.98162425944,2.4019321181731944e-07,0.98056424,0.98247155,,,,,
n_s,2,500,0.9817246229600001,2.4315083664453306e-07,0.98055768,0.98239821,,,,,
n_s,3,500,0.9818903619599999,1.9832263862861616e-07,0.98078057,0.98249406,,,,,
n_s,4,500,0.98183842438,2.594926633657475e-07,0.98050073,0.98249963,,,,,
n_s,__SEGMENT_SUMMARY__,2000,0.981769417185,,0.98162425944,0.9818903619599999,0.0002661025199999223,0.0004850668382955632,0.5485893880830077,8.0,True
A_planck,1,500,1.0200545816,6.722197160465064e-08,1.0200001,1.0245428,,,,,
A_planck,2,500,1.0200480626,1.635740462164238e-09,1.0200002,1.0202246,,,,,
A_planck,3,500,1.0200495148,2.262385912785476e-09,1.02,1.0202799,,,,,
A_planck,4,500,1.0200429344,1.773621058757445e-09,1.02,1.0202861,,,,,
A_planck,__SEGMENT_SUMMARY__,2000,1.0200487733499999,,1.0200429344,1.0200545816,1.1647200000020064e-05,0.0001349941841695021,0.08627927248625428,8.0,True
minuslogpost,1,500,732.75627922,58.27456209032947,729.9945,865.55804,,,,,
minuslogpost,2,500,732.2841134600001,1.762343304270768,730.07091,737.39866,,,,,
minuslogpost,3,500,732.1761714200001,1.9241710647925727,729.98197,737.63231,,,,,
minuslogpost,4,500,732.1182811,2.2516452015577024,729.97341,740.22007,,,,,
minuslogpost,__SEGMENT_SUMMARY__,2000,732.3337113,,732.1182811,732.75627922,0.6379981200000202,4.00664203732223,0.15923511859981762,8.0,True
