parameter,prefix,n,mean,variance,min,max,chain_mean_range,pooled_std,normalized_mean_range
deu_damping_envelope_beta,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01,96,0.029746910854166666,2.3238103405549436e-07,0.028709469,0.030432206,,,
deu_damping_envelope_beta,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02,96,0.02930147417708333,2.4654922681126295e-07,0.028504133,0.030319597,,,
deu_damping_envelope_beta,__SPLIT_SUMMARY__,192,0.029524192515625,,0.02930147417708333,0.029746910854166666,0.0004454366770833343,0.0004893517451009842,0.9102586872177446
deu_transfer_polamp_p_vis,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01,96,1.0477449291666667,1.6959793738771788e-06,1.0450925,1.0497919,,,
deu_transfer_polamp_p_vis,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02,96,1.0484550791666667,8.860046117719107e-07,1.0463612,1.0499511,,,
deu_transfer_polamp_p_vis,__SPLIT_SUMMARY__,192,1.0481000041666668,,1.0477449291666667,1.0484550791666667,0.000710149999999965,0.0011362182857288228,0.6250119443769047
omega_b,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01,96,0.021993950791666664,2.4357138848403594e-09,0.021908501,0.022096185,,,
omega_b,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02,96,0.021947465208333333,8.629805819350789e-10,0.021902073,0.022047356,,,
omega_b,__SPLIT_SUMMARY__,192,0.021970708,,0.021947465208333333,0.021993950791666664,4.6485583333331915e-05,4.061215622677179e-05,1.1446223902460102
n_s,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01,96,0.98215734875,6.889787208262954e-08,0.98129191,0.9824795,,,
n_s,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02,96,0.9814834365624999,1.4986686370910838e-07,0.9805343,0.98216163,,,
n_s,__SPLIT_SUMMARY__,192,0.98182039265625,,0.9814834365624999,0.98215734875,0.0006739121875001253,0.00033073005290700294,2.037650287830422
A_planck,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01,96,1.02499703125,6.711026371184364e-07,1.0233779,1.0274597,,,
A_planck,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02,96,1.0253110760416666,8.375441271041858e-07,1.0228912,1.0276244,,,
A_planck,__SPLIT_SUMMARY__,192,1.0251540536458332,,1.02499703125,1.0253110760416666,0.00031404479166652344,0.0008685179227346497,0.3615870017716038
minuslogpost,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain01,96,574.0754497916666,0.9925356172673228,572.87477,577.82403,,,
minuslogpost,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b4_convergence_precheck_pilot_chain02,96,573.8758895833333,0.7264773332924612,572.96033,577.94824,,,
minuslogpost,__SPLIT_SUMMARY__,192,573.9756696874999,,573.8758895833333,574.0754497916666,0.19956020833330967,0.9270957206674464,0.21525307892656412
