chain_file,column,n_rows
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,weight,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,minuslogpost,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,deu_damping_envelope_beta,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,deu_transfer_polamp_p_vis,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,omega_b,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,n_s,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,A_planck,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,chi2__CMB,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,minuslogprior,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,minuslogprior__0,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,chi2,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,chi2__planck_2018_highl_plik.TTTEEE_lite,128
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01.1.txt,chi2__planck_2018_lowl.TT,128
