parameter,prefix,n,mean,variance,min,max,chain_mean_range,pooled_std,normalized_mean_range
deu_damping_envelope_beta,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01,128,0.0295783988671875,3.3778953678576967e-07,0.028535561,0.030468793,,,
deu_damping_envelope_beta,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain02,128,0.02982818859375,2.0379440598910903e-07,0.028811606,0.030419373,,,
deu_damping_envelope_beta,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain03,128,0.029231581765625,2.695622387885116e-07,0.028501701,0.030474856,,,
deu_damping_envelope_beta,__SPLIT_SUMMARY__,384,0.02954605640885417,,0.029231581765625,0.02982818859375,0.0005966068281249987,0.000519982750214976,1.1473588842674955
deu_transfer_polamp_p_vis,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01,128,1.04801676484375,1.8000618049747902e-06,1.0452604,1.0498892,,,
deu_transfer_polamp_p_vis,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain02,128,1.0474533578125,2.0034202730093304e-06,1.0450959,1.049898,,,
deu_transfer_polamp_p_vis,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain03,128,1.0480228796875,5.843710117101391e-07,1.0464086,1.0494406,,,
deu_transfer_polamp_p_vis,__SPLIT_SUMMARY__,384,1.04783100078125,,1.0474533578125,1.0480228796875,0.0005695218749999231,0.0012093873228063677,0.47091768225117075
omega_b,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01,128,0.0220147676953125,2.3822808049379386e-09,0.02190824,0.022099926,,,
omega_b,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain02,128,0.0219846083046875,2.062002405000903e-09,0.021904263,0.022057727,,,
omega_b,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain03,128,0.0219830435546875,1.8374520837607809e-09,0.021914035,0.022088172,,,
omega_b,__SPLIT_SUMMARY__,384,0.0219941398515625,,0.0219830435546875,0.0220147676953125,3.172414062499809e-05,4.575928063864794e-05,0.6932832024943182
n_s,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01,128,0.982037016875,1.5188125388779127e-07,0.98091709,0.9824902,,,
n_s,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain02,128,0.981301794921875,2.4916137156376526e-07,0.98052036,0.98243894,,,
n_s,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain03,128,0.98153457828125,3.51333634223791e-07,0.98053434,0.98249245,,,
n_s,__SPLIT_SUMMARY__,384,0.9816244633593749,,0.981301794921875,0.982037016875,0.0007352219531250315,0.0005007914601492813,1.4681199893182455
A_planck,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01,128,1.02502238671875,7.073131528143535e-07,1.0230734,1.0271048,,,
A_planck,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain02,128,1.025000875,8.486886521259834e-07,1.0220693,1.0270195,,,
A_planck,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain03,128,1.02533185234375,5.626218872385355e-07,1.0238971,1.0273554,,,
A_planck,__SPLIT_SUMMARY__,384,1.0251183713541667,,1.025000875,1.02533185234375,0.000330977343750094,0.0008403617657848062,0.3938510261006429
minuslogpost,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain01,128,574.214506953125,0.7492897768890722,573.0408,577.44458,,,
minuslogpost,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain02,128,574.03070078125,1.2782839630812812,572.91748,580.30958,,,
minuslogpost,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b5_extended_convergence_gate_pilot_chain03,128,573.749211328125,0.48322320342894015,573.00162,576.38948,,,
minuslogpost,__SPLIT_SUMMARY__,384,573.9981396875,,573.749211328125,574.214506953125,0.46529562499995336,0.9148400485693831,0.5086087187892327
