parameter,segment,n,mean,variance,min,max,segment_mean_range,pooled_std,normalized_segment_range,max_allowed_normalized_segment_range,gate_pass
deu_damping_envelope_beta,1,500,0.029626134239999997,2.4286569946340523e-07,0.028542191,0.03047047,,,,,
deu_damping_envelope_beta,2,500,0.029456648176,2.5750443746788054e-07,0.028549199,0.030463636,,,,,
deu_damping_envelope_beta,3,500,0.029458701444,3.012633447384716e-07,0.02852939,0.030481551,,,,,
deu_damping_envelope_beta,4,500,0.029635143660000002,2.6692201206876595e-07,0.028515852,0.030499613,,,,,
deu_damping_envelope_beta,__SEGMENT_SUMMARY__,2000,0.02954415688,,0.029456648176,0.029635143660000002,0.00017849548400000054,0.0005168547895053608,0.3453493855998198,8.0,True
deu_transfer_polamp_p_vis,1,500,1.0474155988,1.7602044632049768e-06,1.0450006,1.0497597,,,,,
deu_transfer_polamp_p_vis,2,500,1.0472236313999999,1.380468751497054e-06,1.0451135,1.0499238,,,,,
deu_transfer_polamp_p_vis,3,500,1.0474262116,2.011936898782943e-06,1.0450592,1.0498143,,,,,
deu_transfer_polamp_p_vis,4,500,1.0470930183999998,1.4160078214243006e-06,1.0450016,1.0499778,,,,,
deu_transfer_polamp_p_vis,__SEGMENT_SUMMARY__,2000,1.04728961505,,1.0470930183999998,1.0474262116,0.00033319320000013697,0.0012814657559713871,0.26000944500274,8.0,True
omega_b,1,500,0.021981130958,2.2744844057878224e-09,0.021906699,0.02209092,,,,,
omega_b,2,500,0.021969783889999997,2.6742774453686588e-09,0.021900248,0.022090492,,,,,
omega_b,3,500,0.021985718488,2.5582147352804226e-09,0.021900765,0.022094211,,,,,
omega_b,4,500,0.021965483806,1.4206816906737202e-09,0.021902486,0.02207138,,,,,
omega_b,__SEGMENT_SUMMARY__,2000,0.0219755292855,,0.021965483806,0.021985718488,2.023468199999906e-05,4.724314309270347e-05,0.42830939423935643,8.0,True
n_s,1,500,0.98168862992,2.76931923563517e-07,0.98052799,0.98249686,,,,,
n_s,2,500,0.98139480584,2.886878502788514e-07,0.98052765,0.9824657,,,,,
n_s,3,500,0.9816076822,3.920400126704974e-07,0.98050565,0.98249144,,,,,
n_s,4,500,0.98137680702,3.617939192999301e-07,0.98051535,0.98249805,,,,,
n_s,__SEGMENT_SUMMARY__,2000,0.981516981245,,0.98137680702,0.98168862992,0.0003118229000000916,0.0005743373803377236,0.5429263542218558,8.0,True
A_planck,1,500,1.025038183,7.083118442595161e-07,1.0225477,1.0273186,,,,,
A_planck,2,500,1.0250331940000001,9.299812523486932e-07,1.0224184,1.028335,,,,,
A_planck,3,500,1.0250922789999999,6.540389060711487e-07,1.0223195,1.0276245,,,,,
A_planck,4,500,1.0249821018,8.02258960377508e-07,1.0224381,1.0276991,,,,,
A_planck,__SEGMENT_SUMMARY__,2000,1.02503643945,,1.0249821018,1.0250922789999999,0.0001101771999998391,0.0008795724761292934,0.12526221885056293,8.0,True
minuslogpost,1,500,573.91192176,0.7034284682999014,572.88934,577.6837,,,,,
minuslogpost,2,500,574.1197232999999,1.3216434044057184,572.93043,581.07629,,,,,
minuslogpost,3,500,573.9851969,0.6915783036322523,572.94251,579.10595,,,,,
minuslogpost,4,500,573.81522662,0.7119421678613003,572.83932,578.48506,,,,,
minuslogpost,__SEGMENT_SUMMARY__,2000,573.958017145,,573.81522662,574.1197232999999,0.3044966799999429,0.9258229237007437,0.32889300124779175,8.0,True
