parameter,segment,n,mean,variance,min,max,segment_mean_range,pooled_std,normalized_segment_range,max_allowed_normalized_segment_range,gate_pass
deu_damping_envelope_beta,1,1000,0.029541391208,2.571232030042689e-07,0.028542191,0.03047047,,,,,
deu_damping_envelope_beta,2,1000,0.029546922552,2.9159905599955876e-07,0.028515852,0.030499613,,,,,
deu_damping_envelope_beta,3,1000,0.029441279795,3.326923739116467e-07,0.028503605,0.030488333,,,,,
deu_damping_envelope_beta,4,1000,0.029447734048,3.006309427272849e-07,0.028519891,0.03048156,,,,,
deu_damping_envelope_beta,__SEGMENT_SUMMARY__,4000,0.02949433190075,,0.029441279795,0.029546922552,0.00010564275700000042,0.0005436095969633813,0.19433571002080147,8.0,True
deu_transfer_polamp_p_vis,1,1000,1.0473196151,1.5779867915935977e-06,1.0450006,1.0499238,,,,,
deu_transfer_polamp_p_vis,2,1000,1.047259615,1.7400388813963741e-06,1.0450016,1.0499778,,,,,
deu_transfer_polamp_p_vis,3,1000,1.0476935992,1.452130566646006e-06,1.0450369,1.0499736,,,,,
deu_transfer_polamp_p_vis,4,1000,1.0473709512,1.8914521231417115e-06,1.0450906,1.0499406,,,,,
deu_transfer_polamp_p_vis,__SEGMENT_SUMMARY__,4000,1.047410945125,,1.047259615,1.0476935992,0.00043398420000007043,0.001290504587630134,0.33629031943004045,8.0,True
omega_b,1,1000,0.021975457424000002,2.504125277053294e-09,0.021900248,0.02209092,,,,,
omega_b,2,1000,0.021975601147,2.0899198252866856e-09,0.021900765,0.022094211,,,,,
omega_b,3,1000,0.021988174397,2.8376723852065838e-09,0.021900233,0.022098042,,,,,
omega_b,4,1000,0.021982079595999997,2.2019859764952685e-09,0.021900651,0.022099565,,,,,
omega_b,__SEGMENT_SUMMARY__,4000,0.021980328141,,0.021975457424000002,0.021988174397,1.2716972999999437e-05,4.90757156444046e-05,0.2591296496243631,8.0,True
n_s,1,1000,0.98154171788,3.0413154619049343e-07,0.98052765,0.98249686,,,,,
n_s,2,1000,0.98149224461,3.898788480863373e-07,0.98050565,0.98249805,,,,,
n_s,3,1000,0.98159411202,2.948643292461653e-07,0.98050506,0.98249788,,,,,
n_s,4,1000,0.9814452185,2.6203620426141197e-07,0.98050606,0.98247069,,,,,
n_s,__SEGMENT_SUMMARY__,4000,0.9815183232525,,0.9814452185,0.98159411202,0.00014889352000002631,0.0005592206469240044,0.2662518288961893,8.0,True
A_planck,1,1000,1.0250356885,8.183328105482947e-07,1.0224184,1.028335,,,,,
A_planck,2,1000,1.0250371904000002,7.304578470548943e-07,1.0223195,1.0276991,,,,,
A_planck,3,1000,1.025117955,7.31021344139135e-07,1.0223555,1.0273687,,,,,
A_planck,4,1000,1.0250346869,7.855092792776705e-07,1.022366,1.0278849,,,,,
A_planck,__SEGMENT_SUMMARY__,4000,1.0250563802000001,,1.0250346869,1.025117955,8.326810000003348e-05,0.0008754029473648113,0.09511973914491828,8.0,True
minuslogpost,1,1000,574.01582253,1.022328563049747,572.88934,581.07629,,,,,
minuslogpost,2,1000,573.9002117599999,0.7082874767728748,572.83932,579.10595,,,,,
minuslogpost,3,1000,574.02690767,0.8654869267568314,572.91106,579.10713,,,,,
minuslogpost,4,1000,574.02670727,0.8742180574420884,572.86331,579.74345,,,,,
minuslogpost,__SEGMENT_SUMMARY__,4000,573.9924123075,,573.9002117599999,574.02690767,0.1266959100000804,0.9314398831945009,0.1360215643392458,8.0,True
